query_id,doc_id,relevance
q1,1764,1
q1,2301,1
q1,3260,1
q1,3656,1
q1,8088,1
q1,8482,1
q1,9014,1
q1,9100,1
q1,10630,1
q1,10722,1
q1,11052,1
q1,13460,1
q1,13974,1
q1,16480,1
q1,19415,1
q1,19691,1
q1,19704,1
q1,20818,1
q1,22271,1
q1,22783,1
q1,23070,1
q1,23904,1
q1,24352,1
q1,24433,1
q1,26264,1
q1,27214,1
q1,28644,1
q1,29131,1
q1,29377,1
q1,31332,1
q1,32266,1
q1,33799,1
q1,36033,1
q1,39364,1
q1,40191,1
q1,40420,1
q1,40698,1
q1,40877,1
q1,41264,1
q1,43245,1
q1,44896,1
q1,45496,1
q1,46117,1
q1,46165,1
q1,46669,1
q1,46965,1
q1,47876,1
q1,47887,1
q1,48486,1
q1,48734,1
q1,49130,1
q1,49228,1
q1,49638,1
q1,49768,1
q1,51265,1
q1,51428,1
q1,51669,1
q1,51730,1
q1,54405,1
q1,55210,1
q1,57118,1
q1,57856,1
q1,58550,1
q1,59456,1
q1,59646,1
q1,60693,1
q1,61658,1
q1,66366,1
q1,68788,1
q1,71415,1
q1,71651,1
q1,72581,1
q1,78652,1
q1,79271,1
q1,80121,1
q1,80319,1
q1,82732,1
q1,83176,1
q1,83184,1
q1,83667,1
q1,83843,1
q1,84118,1
q1,84142,1
q1,84550,1
q1,84881,1
q1,84929,1
q1,86957,1
q1,87392,1
q1,88045,1
q1,88860,1
q1,89231,1
q1,89565,1
q1,94197,1
q1,95162,1
q1,95349,1
q1,96976,1
q1,99051,1
q1,100596,1
q1,100770,1
q1,103662,1
q1,104039,1
q1,107381,1
q1,107688,1
q1,108295,1
q1,108441,1
q1,108736,1
q1,109005,1
q1,109083,1
q1,109099,1
q1,110758,1
q1,111133,1
q1,113979,1
q2,176,1
q2,613,1
q2,627,1
q2,1078,1
q2,1138,1
q2,1288,1
q2,1437,1
q2,1445,1
q2,1460,1
q2,1489,1
q2,1764,1
q2,1886,1
q2,2301,1
q2,2330,1
q2,2558,1
q2,2700,1
q2,2724,1
q2,2970,1
q2,3007,1
q2,3047,1
q2,3260,1
q2,3313,1
q2,3342,1
q2,3373,1
q2,3593,1
q2,3873,1
q2,3961,1
q2,4045,1
q2,4137,1
q2,4161,1
q2,4577,1
q2,4912,1
q2,5828,1
q2,6138,1
q2,6146,1
q2,6264,1
q2,6333,1
q2,6347,1
q2,6511,1
q2,6519,1
q2,6628,1
q2,6691,1
q2,6699,1
q2,6729,1
q2,6769,1
q2,6854,1
q2,7073,1
q2,7165,1
q2,7299,1
q2,7388,1
q2,7407,1
q2,7512,1
q2,7647,1
q2,7663,1
q2,7881,1
q2,7894,1
q2,8056,1
q2,8313,1
q2,8626,1
q2,8728,1
q2,8811,1
q2,8879,1
q2,8943,1
q2,8959,1
q2,9389,1
q2,9482,1
q2,9518,1
q2,9660,1
q2,9709,1
q2,9815,1
q2,9879,1
q2,9957,1
q2,10187,1
q2,10333,1
q2,10361,1
q2,10394,1
q2,10614,1
q2,10630,1
q2,10969,1
q2,11184,1
q2,11464,1
q2,11532,1
q2,11581,1
q2,11680,1
q2,11870,1
q2,11887,1
q2,12112,1
q2,12641,1
q2,12707,1
q2,12741,1
q2,13134,1
q2,13460,1
q2,13678,1
q2,13946,1
q2,13982,1
q2,14303,1
q2,14409,1
q2,14513,1
q2,14615,1
q2,15063,1
q2,15646,1
q2,15675,1
q2,15901,1
q2,16065,1
q2,16480,1
q2,16588,1
q2,16656,1
q2,16768,1
q2,17067,1
q2,17425,1
q2,17729,1
q2,17879,1
q2,18242,1
q2,18286,1
q2,18555,1
q2,19102,1
q2,19183,1
q2,19405,1
q2,19567,1
q2,19907,1
q2,20005,1
q2,20018,1
q2,20137,1
q2,20293,1
q2,20324,1
q2,20570,1
q2,20975,1
q2,21084,1
q2,21270,1
q2,21502,1
q2,21681,1
q2,22054,1
q2,22077,1
q2,22344,1
q2,22685,1
q2,22702,1
q2,23130,1
q2,23285,1
q2,23332,1
q2,23376,1
q2,23425,1
q2,23470,1
q2,23636,1
q2,23733,1
q2,23837,1
q2,24185,1
q2,24310,1
q2,24641,1
q2,24914,1
q2,25325,1
q2,25766,1
q2,25953,1
q2,25981,1
q2,26223,1
q2,26343,1
q2,26419,1
q2,26608,1
q2,27003,1
q2,27395,1
q2,27657,1
q2,27673,1
q2,27679,1
q2,27731,1
q2,28037,1
q2,28192,1
q2,28219,1
q2,28546,1
q2,29022,1
q2,29250,1
q2,29348,1
q2,29512,1
q2,29837,1
q2,29874,1
q2,29908,1
q2,30005,1
q2,30231,1
q2,30320,1
q2,30347,1
q2,30719,1
q2,30749,1
q2,30801,1
q2,30822,1
q2,30885,1
q2,31017,1
q2,31276,1
q2,31300,1
q2,31332,1
q2,31465,1
q2,31736,1
q2,31786,1
q2,31871,1
q2,32009,1
q2,32221,1
q2,32277,1
q2,32433,1
q2,32441,1
q2,32633,1
q2,32717,1
q2,32732,1
q2,32875,1
q2,32967,1
q2,32991,1
q2,33163,1
q2,33551,1
q2,33681,1
q2,33730,1
q2,33799,1
q2,34109,1
q2,34145,1
q2,34175,1
q2,34291,1
q2,34609,1
q2,34614,1
q2,34630,1
q2,34669,1
q2,34685,1
q2,34714,1
q2,34990,1
q2,35495,1
q2,35511,1
q2,35585,1
q2,35728,1
q2,36033,1
q2,36040,1
q2,36133,1
q2,36252,1
q2,36393,1
q2,36702,1
q2,36710,1
q2,36809,1
q2,36867,1
q2,36944,1
q2,37109,1
q2,37175,1
q2,37220,1
q2,37370,1
q2,37394,1
q2,37466,1
q2,37756,1
q2,37893,1
q2,37909,1
q2,38060,1
q2,38145,1
q2,38266,1
q2,38450,1
q2,38716,1
q2,38732,1
q2,39119,1
q2,39172,1
q2,39258,1
q2,39266,1
q2,39290,1
q2,39298,1
q2,39454,1
q2,39612,1
q2,39932,1
q2,39994,1
q2,40183,1
q2,40191,1
q2,40197,1
q2,40636,1
q2,40651,1
q2,40674,1
q2,40698,1
q2,40845,1
q2,40885,1
q2,40907,1
q2,40915,1
q2,41225,1
q2,41328,1
q2,41344,1
q2,41397,1
